Wk,Date,Rk,School,Prev,Chng,Conf
2,2010-10-24,12,LSU (7-1),6,6,SEC (West)
2,2010-10-24,13,Stanford (6-1),12,1,Pac-10
2,2010-10-24,14,Nebraska (6-1),16,2,Big 12 (North)
2,2010-10-24,15,Arizona (6-1),18,3,Pac-10
2,2010-10-24,16,Florida State (6-1),17,1,ACC (Atlantic)
2,2010-10-24,17,Oklahoma State (6-1),14,3,Big 12 (South)
2,2010-10-24,18,Iowa (5-2),15,3,Big Ten
2,2010-10-24,19,Arkansas (5-2),23,4,SEC (West)
2,2010-10-24,20,South Carolina (5-2),21,1,SEC (East)
2,2010-10-24,21,Mississippi State (6-2),24,3,SEC (West)
2,2010-10-24,22,Miami (FL) (5-2),,,ACC (Coastal)
2,2010-10-24,23,Virginia Tech (6-2),25,2,ACC (Coastal)
2,2010-10-24,24,Nevada (6-1),,,WAC
2,2010-10-24,25,Baylor (6-2),,,Big 12 (South)
1,2010-10-17,1,Oklahoma (6-0),NA,—,Big 12 (South)
1,2010-10-17,2,Oregon (6-0),NA,—,Pac-10
1,2010-10-17,3,Boise State (6-0),NA,—,WAC
1,2010-10-17,4,Auburn (7-0),NA,—,SEC (West)
1,2010-10-17,5,Texas Christian (7-0),NA,—,MWC
1,2010-10-17,6,LSU (7-0),NA,—,SEC (West)
1,2010-10-17,7,Michigan State (7-0),NA,—,Big Ten
1,2010-10-17,8,Alabama (6-1),NA,—,SEC (West)
1,2010-10-17,9,Utah (6-0),NA,—,MWC
1,2010-10-17,10,Ohio State (6-1),NA,—,Big Ten
1,2010-10-17,11,Missouri (6-0),NA,—,Big 12 (North)
1,2010-10-17,12,Stanford (5-1),NA,—,Pac-10
1,2010-10-17,13,Wisconsin (6-1),NA,—,Big Ten
1,2010-10-17,14,Oklahoma State (6-0),NA,—,Big 12 (South)
1,2010-10-17,15,Iowa (5-1),NA,—,Big Ten
1,2010-10-17,16,Nebraska (5-1),NA,—,Big 12 (North)
1,2010-10-17,17,Florida State (6-1),NA,—,ACC (Atlantic)
1,2010-10-17,18,Arizona (5-1),NA,—,Pac-10
1,2010-10-17,19,Texas (4-2),NA,—,Big 12 (South)
1,2010-10-17,20,West Virginia (5-1),NA,—,Big East
1,2010-10-17,21,South Carolina (4-2),NA,—,SEC (East)
1,2010-10-17,22,Kansas State (5-1),NA,—,Big 12 (North)
1,2010-10-17,23,Arkansas (4-2),NA,—,SEC (West)
1,2010-10-17,24,Mississippi State (5-2),NA,—,SEC (West)
1,2010-10-17,25,Virginia Tech (5-2),NA,—,ACC (Coastal)
